Country,Literacy,GDP per capita,Population
Zimbabwe,0.897,2115,15993525
Vanuatu,0.891,2783,319146
United Arab Emirates,0.981,69734,9365149
Ukraine,1,12944,43531424
Uganda,0.79,2246,45853780
Tunisia,0.827,10398,12262949
Tonga,0.994,6143,106034
Thailand,0.941,17077,71601104
Tanzania,0.818,2582,63588332
Suriname,0.95,14767,612989
Sierra Leone,0.477,1615,8420642
Senegal,0.563,3495,16876726
Sao Tome and Principe,0.938,4052,223118
Samoa,0.991,5534,218781
Rwanda,0.759,2239,13461891
Romania,0.989,30777,19328558
Puerto Rico,0.924,32633,3256030
Portugal,0.968,33675,10290109
Poland,0.998,34916,38307724
Niger,0.373,1187,25252722
Nepal,0.712,3832,30034988
Namibia,0.923,9138,2530150
Mozambique,0.634,1227,32077074
Morocco,0.759,8058,37076588
Montenegro,0.99,20603,627856
Moldova,0.996,14009,3061509
Mauritius,0.922,20968,1298922
Mauritania,0.67,5308,4614981
Malta,0.949,44659,526751
Maldives,0.979,18765,521469
Malawi,0.673,1491,19889742
Madagascar,0.773,1464,28915652
Macao,0.971,64797,686616
Lithuania,0.998,39306,2786652
Lesotho,0.81,2295,2281464
Latvia,0.999,32081,1873926
Laos,0.871,7847,7425055
Kenya,0.826,4743,53005616
Jordan,0.984,9223,11148288
Iran,0.887,15005,87923432
Hungary,0.991,33593,9709784
Guyana,0.888,21925,804571
Guinea-Bissau,0.529,1831,2060730
Guinea,0.453,2640,13531909
Guatemala,0.833,8927,17608484
Gambia,0.581,2077,2639922
Gabon,0.855,13814,2341185
Estonia,0.999,38718,1328704
Egypt,0.731,11566,109262184
Ecuador,0.945,10669,17797736
Dominican Republic,0.952,18626,11117873
Democratic Republic of Congo,0.8,1074,95894120
Cyprus,0.994,41702,1244193
Croatia,0.995,31636,4060139
Costa Rica,0.98,21199,5153959
Congo,0.806,3234,5835814
Comoros,0.62,3229,821632
Chile,0.97,25449,19493184
Chad,0.268,1425,17179744
Cayman Islands,0.989,67500,68157
Cape Verde,0.908,6114,587936
Cambodia,0.839,4355,16589031
Burundi,0.747,705,12551215
Burkina Faso,0.46,2180,22100690
Bulgaria,0.984,24398,6885864
Brunei,0.976,60127,445382
Brazil,0.943,14592,214326224
Bosnia and Herzegovina,0.981,15667,3270948
Bhutan,0.71,10908,777500
Benin,0.458,3322,12996901
Angola,0.723,5909,34503776
Albania,0.985,14519,2854710
Afghanistan,0.373,1516,40099460
