Country,Literacy,GDP per capita,Population,Human Development Index,Life Expectancy,CO2 Emissions per capita,Gini Index
Afghanistan,0.373,1516,40099460,0.462,66,0.27,40.4
Albania,0.985,14519,2854710,0.796,79.9,1.77,33.2
Angola,0.723,5909,34503776,0.592,65,0.86,51.3
Australia,0.99,64963,26439000,0.946,83.9,15,34.4
Austria,0.99,65715,9070000,0.926,82,7,30.8
Belgium,0.99,62235,11776000,0.937,81.6,7.2,27.2
Benin,0.458,3322,12996901,0.52,60.6,0.55,47.8
Bhutan,0.71,10908,7775,0.681,73.3,2.75,38.8
Bosnia and Herzegovina,0.981,15667,3270948,0.78,78.5,5.46,32.7
Brazil,0.943,14592,214326224,0.765,76.9,2.21,48.9
Brunei,0.976,60127,445382,0.823,78.9,16.36,39
Bulgaria,0.984,24398,6885864,0.871,75.8,5.23,40.3
Burkina Faso,0.46,218,22100690,0.438,60.5,0.22,35.3
Cambodia,0.839,4355,16589031,0.593,70.9,1.48,37.2
Cape Verde,0.908,6114,587936,0.661,73.9,1.21,42.4
Chad,0.268,1425,17179744,0.394,56.1,0.07,37.5
Chile,0.97,25449,19493184,0.86,80.3,4.79,43.2
Comoros,0.62,3229,821632,0.558,64.8,0.39,45.3
Congo,0.806,3234,5835814,0.578,63.4,0.95,48.9
Costa Rica,0.98,21199,5153959,0.806,80.3,1.93,47.2
Croatia,0.995,31636,4060139,0.878,78.9,4.14,29.2
Cyprus,0.994,41702,1244193,0.896,80.2,7.63,31.9
Cyprus,0.994,41702,1244193,0.896,80.2,7.63,31.9
Czechia,0.99,47683,10516000,0.903,78.4,8.4,25
Democratic Republic of Congo,0.8,1074,95894120,0.612,60.8,0.06,42.1
Denmark,0.99,75225,5910000,0.948,81.4,6.1,27.7
Dominican Republic,0.952,18626,11117873,0.766,75,2.75,44.9
Ecuador,0.945,10669,17797736,0.74,77.8,2.42,45.7
Egypt,0.731,11566,109262184,0.728,72.8,2.13,31.5
Estonia,0.999,38718,1328704,0.899,78.4,11.85,30.5
Finland,0.99,58514,5567000,0.94,82.1,7,27.3
France,0.99,53139,64756000,0.91,82.7,4.3,32.4
Gabon,0.855,13814,2341185,0.698,67.4,3.18,38
Gambia,0.581,2077,2639922,0.501,62,0.22,35.9
Germany,0.99,66132,84432000,0.95,81.3,8.1,31.9
Greece,0.99,37887,10397000,0.893,82.2,5.8,30.6
Guatemala,0.833,8927,17608484,0.63,75.5,0.94,48.3
Guinea,0.453,264,13531909,0.465,62.3,0.38,33.7
Guinea-Bissau,0.529,1831,2060730,0.483,60.8,0.16,36.4
Guyana,0.888,21925,804571,0.737,70.5,2.9,44.6
Hungary,0.991,33593,9709784,0.851,77.3,4.21,29.9
Hungary,0.991,33593,9709784,0.851,77.3,4.21,29.9
Iran,0.887,15005,87923432,0.776,78.1,7.61,42
Ireland,0.99,109919,5057000,0.95,82.4,8.5,31.4
Italy,0.99,49458,58788000,0.895,83.2,5.6,32.7
Jordan,0.984,9223,11148288,0.736,75.3,3.06,33.7
Kenya,0.826,4743,53005616,0.601,68,0.39,40.8
Laos,0.871,7847,7425055,0.62,68.1,2.04,38.8
Latvia,0.999,32081,1873926,0.879,76,3.74,35.7
Latvia,0.999,32081,1873926,0.879,76,3.74,35.7
Lesotho,0.81,2295,2281464,0.521,55.2,0.55,44.9
Lithuania,0.998,39306,2786652,0.875,76.7,4.76,36.2
Macao,0.971,64797,686616,0.928,85.3,4.9,38.3
Madagascar,0.773,1464,28915652,0.587,68.8,0.13,42.6
Malawi,0.673,1491,19889742,0.508,64.2,0.1,44.7
Maldives,0.979,18765,521469,0.74,80.4,4,31.3
Malta,0.949,44659,526751,0.858,83.6,5.5,29.1
Mauritania,0.67,5308,4614981,0.562,64.8,1.18,37.2
Mauritius,0.922,20968,1298922,0.802,75.8,3.57,35.8
Moldova,0.996,14009,3061509,0.766,72.6,1.44,25.7
Montenegro,0.99,20603,627856,0.844,77.4,4.07,37.2
Morocco,0.759,8058,37076588,0.698,77.8,1.69,38
Mozambique,0.634,1227,32077074,0.461,63.5,0.17,48.9
Namibia,0.923,9138,2530150,0.616,63.8,2.9,59.1
Nepal,0.712,3832,30034988,0.601,72.2,0.38,32.8
Netherlands,0.99,68571,17812000,0.941,81.8,9.2,28.1
Niger,0.373,1187,25252722,0.394,62.6,0.16,34.3
Poland,0.998,34916,38307724,0.876,79,7.65,29.7
